region,brand,collection,price,cost,quantity_sold,sales_revenue,total_cost,gross_profit,year_quarter,year
East coast,Jeffrey Alexander,Milan,126,72.76,775,97650,56389,41261,2016-Q2,2016
International,Elements,Cypress,2.5,1.5,190,475,285,190,2016-Q2,2016
Central,Elements,Lindos,4.15,2.52,187,776.05,471.24,304.81,2016-Q2,2016
South,Elements,Glendale,5.98,3.8,434,2595.32,1649.2,946.12,2016-Q2,2016
East coast,Jeffrey Alexander,Delgado,37.25,22.14,109,4060.25,2413.26,1646.99,2016-Q2,2016
Northeast,Jeffrey Alexander,Symphony,11.24,6.86,33,370.92,226.38,144.54,2016-Q2,2016
Central,Elements,Sedona,11.63,7.49,798,9280.74,5977.02,3303.72,2016-Q2,2016
West,Jeffrey Alexander,Bremen,12.45,7.87,946,11777.7,7445.02,4332.68,2016-Q2,2016
South,Elements,Stanton,8.56,5.96,878,7515.68,5232.88,2282.8,2016-Q2,2016
Midwest,Jeffrey Alexander,Venezia,14.99,9.47,446,6685.54,4223.62,2461.92,2016-Q2,2016
West,Elements,Torino,2.85,1.79,452,1288.2,809.08,479.12,2016-Q2,2016
Central,Jeffrey Alexander,Lille,8.85,5.57,948,8389.8,5280.36,3109.44,2016-Q2,2016
Central,Elements,Aiden,1.4229,4.42,564,802.5156,2492.88,-1690.3644,2016-Q2,2016
West,Jeffrey Alexander,Belcastel,14.05,8.9,932,13094.6,8294.8,4799.8,2016-Q2,2016
East coast,Jeffrey Alexander,Backplates,5.09,3.11,522,2656.98,1623.42,1033.56,2016-Q2,2016
Northwest,Jeffrey Alexander,Mirada,14.29,8.34,747,10674.63,6229.98,4444.65,2016-Q2,2016
South,Elements,Seaver,6.49,4.29,227,1473.23,973.83,499.4,2016-Q2,2016
Central,Elements,Madison,3.89,2.37,908,3532.12,2151.96,1380.16,2016-Q2,2016
South,Elements,Stanton,11.73,7.64,383,4492.59,2926.12,1566.47,2016-Q2,2016
East coast,Jeffrey Alexander,Aberdeen,30.55,19.46,952,29083.6,18525.92,10557.68,2016-Q2,2016
Northeast,Jeffrey Alexander,Cordova,5.2,3.12,52,270.4,162.24,108.16,2016-Q2,2016
South,Elements,Geneva,2.39,1.66,57,136.23,94.62,41.61,2016-Q2,2016
Central,Elements,Geneva,5.2,3.52,922,4794.4,3245.44,1548.96,2016-Q2,2016
East coast,Elements,Somerset,5.35,3.21,560,2996,1797.6,1198.4,2016-Q2,2016
Northwest,Elements,Torino,2.67,1.75,568,1516.56,994,522.56,2016-Q2,2016
Central,Elements,Torino,2.85,1.74,105,299.25,182.7,116.55,2016-Q2,2016
Central,Jeffrey Alexander,Lenoir,5.25,3.33,517,2714.25,1721.61,992.64,2016-Q2,2016
Central,Elements,Gatsby,3.58,2.44,156,558.48,380.64,177.84,2016-Q2,2016
Central,Elements,Torino,2.85,1.86,798,2274.3,1484.28,790.02,2016-Q2,2016
East coast,Elements,Torino,2.85,1.74,333,949.05,579.42,369.63,2016-Q2,2016
East coast,Jeffrey Alexander,Hayworth,13.83,8.89,293,4052.19,2604.77,1447.42,2016-Q2,2016
Northwest,Jeffrey Alexander,Ella,17.68,9.81,832,14709.76,8161.92,6547.84,2016-Q2,2016
West,Jeffrey Alexander,Escutcheons,1.78,0.99,417,742.26,412.83,329.43,2016-Q2,2016
Northwest,Elements,Cosgrove,3.58,2.49,839,3003.62,2089.11,914.51,2016-Q2,2016
Central,Elements,Calloway,7.63,4.85,919,7011.97,4457.15,2554.82,2016-Q2,2016
East coast,Jeffrey Alexander,Rae,57.99,34.25,832,48247.68,28496,19751.68,2016-Q2,2016
Midwest,Elements,Calloway,6.95,4.17,227,1577.65,946.59,631.06,2016-Q2,2016
South,Elements,Torino,1.98,1.23,374,740.52,460.02,280.5,2016-Q2,2016
East coast,Elements,Kingsport,5.25,3.55,268,1407,951.4,455.6,2016-Q2,2016
West,Elements,Calloway,7.25,4.51,803,5821.75,3621.53,2200.22,2016-Q2,2016
West,Elements,Asher,9.98,6.12,865,8632.7,5293.8,3338.9,2016-Q2,2016
West,Jeffrey Alexander,Bremen,7.13,4.47,591,4213.83,2641.77,1572.06,2016-Q2,2016
Central,Elements,Glendale,4.65,3.24,704,3273.6,2280.96,992.64,2016-Q2,2016
East coast,Elements,Glendale,4.65,3.25,210,976.5,682.5,294,2016-Q2,2016
East coast,Jeffrey Alexander,Regency,7.13,4.03,475,3386.75,1914.25,1472.5,2016-Q2,2016
West,Jeffrey Alexander,Lenoir,5.25,3.14,365,1916.25,1146.1,770.15,2016-Q2,2016
East coast,Jeffrey Alexander,Glenmore,12.27,7.59,619,7595.13,4698.21,2896.92,2016-Q2,2016
Central,Elements,Drake,5.15,3.14,797,4104.55,2502.58,1601.97,2016-Q2,2016
Central,Elements,Calloway,7.63,4.62,74,564.62,341.88,222.74,2016-Q2,2016
Central,Elements,Asher,6.95,4.47,975,6776.25,4358.25,2418,2016-Q2,2016
South,Jeffrey Alexander,Callie,15.79,9.61,469,7405.51,4507.09,2898.42,2016-Q2,2016
South,Jeffrey Alexander,Belcastel,8.93,5.46,230,2053.9,1255.8,798.1,2016-Q2,2016
Central,Elements,Naples,9.95,6.38,550,5472.5,3509,1963.5,2016-Q2,2016
Midwest,Elements,Tempo,1.25,0.77,421,526.25,324.17,202.08,2016-Q2,2016
Midwest,Elements,Somerset,5.35,3.26,576,3081.6,1877.76,1203.84,2016-Q2,2016
Central,Elements,Madison,126,81.05,770,97020,62408.5,34611.5,2016-Q2,2016
West,Elements,Florence,5.21,3.17,342,1781.82,1084.14,697.68,2016-Q2,2016
Northeast,Jeffrey Alexander,Harlow,14.99,9.36,307,4601.93,2873.52,1728.41,2016-Q2,2016
West,Jeffrey Alexander,Sonoma,12.86,8.05,107,1376.02,861.35,514.67,2016-Q2,2016
West,Elements,Zachary,4.15,2.6,934,3876.1,2428.4,1447.7,2016-Q2,2016
Midwest,Elements,Torino,2.52,1.57,1334,3361.68,2094.38,1267.3,2016-Q2,2016
East coast,Jeffrey Alexander,Lexa,15.85,9.42,886,14043.1,8346.12,5696.98,2016-Q2,2016
Central,Elements,Cosgrove,3.58,2.49,481,1721.98,1197.69,524.29,2016-Q2,2016
East coast,Elements,Naples,11.43,7.11,233,2663.19,1656.63,1006.56,2016-Q2,2016
Central,Elements,Verona,5.68,3.45,991,5628.88,3418.95,2209.93,2016-Q2,2016
Central,Jeffrey Alexander,Delgado,37.25,24.12,903,33636.75,21780.36,11856.39,2016-Q2,2016
Central,Elements,Kenner,5.39,3.7,458,2468.62,1694.6,774.02,2016-Q2,2016
Northeast,Jeffrey Alexander,Zurich,13.03,7.66,759,9889.77,5813.94,4075.83,2016-Q2,2016
East coast,Jeffrey Alexander,Mirada,14.29,8.34,647,9245.63,5395.98,3849.65,2016-Q2,2016
West,Jeffrey Alexander,Bremen,126,72.95,207,26082,15100.65,10981.35,2016-Q2,2016
Central,Jeffrey Alexander,Ella,14.39,7.96,140,2014.6,1114.4,900.2,2016-Q2,2016
Central,Elements,Cosgrove,11.35,7.11,775,8796.25,5510.25,3286,2016-Q2,2016
West,Jeffrey Alexander,Rae,8.05,4.96,38,305.9,188.48,117.42,2016-Q2,2016
Central,Elements,Stanton,24.59,15.35,530,13032.7,8135.5,4897.2,2016-Q2,2016
Northwest,Elements,Aiden,0.7237,2.14,776,561.5912,1660.64,-1099.0488,2016-Q2,2016
Central,Jeffrey Alexander,Odessa,13.31,7.52,108,1437.48,812.16,625.32,2016-Q2,2016
Central,Elements,Belfast,5.55,3.82,510,2830.5,1948.2,882.3,2016-Q2,2016
Central,Elements,Florence,6.83,4.27,832,5682.56,3552.64,2129.92,2016-Q2,2016
Midwest,Elements,Torino,1.98,1.23,1091,2160.18,1341.93,818.25,2016-Q2,2016
East coast,Jeffrey Alexander,Montclair,18.87,10.61,790,14907.3,8381.9,6525.4,2016-Q2,2016
Central,Elements,Madison,3.45,2.14,756,2608.2,1617.84,990.36,2016-Q2,2016
West,Jeffrey Alexander,Katharine,22.33,12.56,513,11455.29,6443.28,5012.01,2016-Q2,2016
Central,Elements,Gatsby,2.15,1.3,238,511.7,309.4,202.3,2016-Q2,2016
East coast,Jeffrey Alexander,Rae,10.35,6.68,477,4936.95,3186.36,1750.59,2016-Q2,2016
West,Elements,Brenton,6.2,4.09,693,4296.6,2834.37,1462.23,2016-Q2,2016
Northwest,Jeffrey Alexander,Belcastel,6.95,4.51,225,1563.75,1014.75,549,2016-Q2,2016
East coast,Jeffrey Alexander,Delmar,32.59,18.77,774,25224.66,14527.98,10696.68,2016-Q2,2016
Central,Elements,Somerset,5.35,3.7,106,567.1,392.2,174.9,2016-Q2,2016
Northeast,Jeffrey Alexander,Backplates,8.79,5.62,495,4351.05,2781.9,1569.15,2016-Q2,2016
Northwest,Jeffrey Alexander,Rhodes,126,74.54,314,39564,23405.56,16158.44,2016-Q2,2016
East coast,Jeffrey Alexander,Zane,14.79,9.07,67,990.93,607.69,383.24,2016-Q2,2016
Central,Elements,Torino,2.67,1.74,155,413.85,269.7,144.15,2016-Q2,2016
Northeast,Jeffrey Alexander,Rae,17.45,11.25,476,8306.2,5355,2951.2,2016-Q2,2016
West,Elements,Torino,2.85,1.74,279,795.15,485.46,309.69,2016-Q2,2016
East coast,Jeffrey Alexander,Hudson,13.83,8.66,939,12986.37,8131.74,4854.63,2016-Q2,2016
Central,Elements,Madison,3.89,2.36,820,3189.8,1935.2,1254.6,2016-Q2,2016
Central,Elements,Torino,2.85,1.77,650,1852.5,1150.5,702,2016-Q2,2016
West,Jeffrey Alexander,Durham,14.05,8.05,335,4706.75,2696.75,2010,2016-Q2,2016
Central,Elements,Brenton,6.2,4.23,306,1897.2,1294.38,602.82,2016-Q2,2016
Northwest,Jeffrey Alexander,West,10.83,6.57,181,1960.23,1189.17,771.06,2016-Q2,2016
Central,Elements,Hadly,7.27,4.4,846,6150.42,3722.4,2428.02,2016-Q2,2016
Northeast,Jeffrey Alexander,Callie,8.53,4.74,457,3898.21,2166.18,1732.03,2016-Q2,2016
East coast,Jeffrey Alexander,Milan,15.89,10.14,901,14316.89,9136.14,5180.75,2016-Q2,2016
East coast,Jeffrey Alexander,Marlo,136.25,84.68,991,135023.75,83917.88,51105.87,2016-Q2,2016
East coast,Elements,Lindos,3.83,2.55,813,3113.79,2073.15,1040.64,2016-Q2,2016
Midwest,Jeffrey Alexander,Key Largo,11.43,6.78,851,9726.93,5769.78,3957.15,2016-Q2,2016
West,Jeffrey Alexander,Alvar,11.55,7.04,455,5255.25,3203.2,2052.05,2016-Q2,2016
Central,Elements,Aiden,1.1779,3.59,538,633.7102,1931.42,-1297.7098,2016-Q2,2016
South,Elements,Cypress,3.58,2.39,642,2298.36,1534.38,763.98,2016-Q2,2016
East coast,Jeffrey Alexander,Rhodes,5.25,2.98,974,5113.5,2902.52,2210.98,2016-Q2,2016
East coast,Jeffrey Alexander,Delmar,150.75,84.17,88,13266,7406.96,5859.04,2016-Q2,2016
East coast,Jeffrey Alexander,Leyton,22.33,14.02,933,20833.89,13080.66,7753.23,2016-Q2,2016
Central,Elements,Edgefield,6.65,4.25,786,5226.9,3340.5,1886.4,2016-Q2,2016
Midwest,Jeffrey Alexander,Alvar,11.55,7.04,332,3834.6,2337.28,1497.32,2016-Q2,2016
East coast,Jeffrey Alexander,Backplates,5.09,2.93,266,1353.94,779.38,574.56,2016-Q2,2016
East coast,Jeffrey Alexander,Bremen,10.71,5.91,102,1092.42,602.82,489.6,2016-Q2,2016
Northwest,Jeffrey Alexander,Cordova,126,69.52,48,6048,3336.96,2711.04,2016-Q2,2016
Northwest,Elements,Edgefield,5.39,3.42,688,3708.32,2352.96,1355.36,2016-Q2,2016
East coast,Jeffrey Alexander,Tiffany,14.49,8.32,502,7273.98,4176.64,3097.34,2016-Q2,2016
Central,Elements,Hammond,5.39,3.51,600,3234,2106,1128,2016-Q2,2016
Midwest,Elements,Verona,7.93,4.78,1356,10753.08,6481.68,4271.4,2016-Q2,2016
South,Jeffrey Alexander,Annadale,28.25,17.24,809,22854.25,13947.16,8907.09,2016-Q2,2016
Central,Elements,Glendale,5.98,3.97,22,131.56,87.34,44.22,2016-Q2,2016
Northeast,Jeffrey Alexander,Regency,7.13,4.24,469,3343.97,1988.56,1355.41,2016-Q2,2016
East coast,Elements,Merryville,4.15,2.87,496,2058.4,1423.52,634.88,2016-Q2,2016
West,Jeffrey Alexander,Durham,15.99,10.35,449,7179.51,4647.15,2532.36,2016-Q2,2016
West,Elements,Merryville,3.43,2.26,53,181.79,119.78,62.01,2016-Q2,2016
West,Elements,Brenton,10.35,6.25,502,5195.7,3137.5,2058.2,2016-Q2,2016
Midwest,Elements,Somerset,3.58,2.39,224,801.92,535.36,266.56,2016-Q2,2016
West,Jeffrey Alexander,Delgado,9.89,6.3,787,7783.43,4958.1,2825.33,2016-Q2,2016
West,Jeffrey Alexander,Bella,17.68,11.37,411,7266.48,4673.07,2593.41,2016-Q2,2016
South,Elements,Hammond,5.39,3.58,790,4258.1,2828.2,1429.9,2016-Q2,2016
East coast,Jeffrey Alexander,Montclair,18.87,10.61,411,7755.57,4360.71,3394.86,2016-Q2,2016
West,Elements,Seaver,5.98,3.85,324,1937.52,1247.4,690.12,2016-Q2,2016
Central,Elements,Geneva,4.55,2.89,629,2861.95,1817.81,1044.14,2016-Q2,2016
West,Jeffrey Alexander,Harlow,14.99,8.98,680,10193.2,6106.4,4086.8,2016-Q2,2016
Northwest,Jeffrey Alexander,Bremen,12.45,7.62,261,3249.45,1988.82,1260.63,2016-Q2,2016
Midwest,Jeffrey Alexander,Maybeck,9.75,5.57,1437,14010.75,8004.09,6006.66,2016-Q2,2016
Midwest,Elements,Capri,3.73,2.55,99,369.27,252.45,116.82,2016-Q2,2016
West,Elements,Belfast,7.35,4.97,499,3667.65,2480.03,1187.62,2016-Q2,2016
West,Elements,Edgefield,14.79,9.23,352,5206.08,3248.96,1957.12,2016-Q2,2016
Northwest,Jeffrey Alexander,Lenoir,6.2,3.96,375,2325,1485,840,2016-Q2,2016
Northwest,Elements,Naples,15.59,10.63,582,9073.38,6186.66,2886.72,2016-Q2,2016
Northeast,Jeffrey Alexander,Cordova,7.05,3.95,85,599.25,335.75,263.5,2016-Q2,2016
South,Jeffrey Alexander,Belcastel,6.95,4.51,495,3440.25,2232.45,1207.8,2016-Q2,2016
Central,Elements,Kingsport,2.99,1.86,766,2290.34,1424.76,865.58,2016-Q2,2016
Central,Jeffrey Alexander,Bella,136.25,78.61,426,58042.5,33487.86,24554.64,2016-Q2,2016
Central,Elements,Tempo,2.43,1.64,738,1793.34,1210.32,583.02,2016-Q2,2016
Northwest,Jeffrey Alexander,Alvar,13.83,8.43,169,2337.27,1424.67,912.6,2016-Q2,2016
South,Jeffrey Alexander,Lyon,8.29,5.25,268,2221.72,1407,814.72,2016-Q2,2016
Midwest,Jeffrey Alexander,Evangeline,13.31,7.92,1274,16956.94,10090.08,6866.86,2016-Q2,2016
Midwest,Elements,Westbury,3.71,2.31,1431,5309.01,3305.61,2003.4,2016-Q2,2016
Central,Elements,Gatsby,3.23,2.09,662,2138.26,1383.58,754.68,2016-Q2,2016
International,Jeffrey Alexander,Harlow,14.99,8.84,825,12366.75,7293,5073.75,2016-Q2,2016
Central,Jeffrey Alexander,Milan,126,72.25,576,72576,41616,30960,2016-Q2,2016
Midwest,Jeffrey Alexander,Aberdeen,24.85,16.07,907,22538.95,14575.49,7963.46,2016-Q2,2016
Central,Elements,Kingsport,2.99,1.86,273,816.27,507.78,308.49,2016-Q2,2016
East coast,Elements,Slade,4.35,2.92,447,1944.45,1305.24,639.21,2016-Q2,2016
South,Jeffrey Alexander,Aberdeen,10.15,6.26,447,4537.05,2798.22,1738.83,2016-Q2,2016
Northeast,Elements,Calloway,7.25,4.6,160,1160,736,424,2016-Q2,2016
Northeast,Elements,Calloway,7.25,4.67,994,7206.5,4641.98,2564.52,2016-Q2,2016
West,Elements,Strickland,9.53,5.8,543,5174.79,3149.4,2025.39,2016-Q2,2016
Central,Elements,Zachary,3.15,2.19,140,441,306.6,134.4,2016-Q2,2016
International,Elements,Madison,126,85.08,498,62748,42369.84,20378.16,2016-Q2,2016
Central,Elements,Brenton,8.05,5.27,170,1368.5,895.9,472.6,2016-Q2,2016
Central,Elements,Syracuse,3.53,2.24,248,875.44,555.52,319.92,2016-Q2,2016
Midwest,Jeffrey Alexander,Zurich,5.15,2.84,1313,6761.95,3728.92,3033.03,2016-Q2,2016
South,Jeffrey Alexander,Zane,12.75,8.01,431,5495.25,3452.31,2042.94,2016-Q2,2016
International,Jeffrey Alexander,Rae,160,90.52,632,101120,57208.64,43911.36,2016-Q2,2016
Central,Elements,Hadly,7.27,4.54,492,3576.84,2233.68,1343.16,2016-Q2,2016
East coast,Elements,Cypress,3.58,2.5,738,2642.04,1845,797.04,2016-Q2,2016
Central,Elements,Brenton,4.15,2.52,494,2050.1,1244.88,805.22,2016-Q2,2016
Northwest,Elements,Madison,3.45,2.24,557,1921.65,1247.68,673.97,2016-Q2,2016
Central,Elements,Strickland,9.53,5.8,12,114.36,69.6,44.76,2016-Q2,2016
International,Jeffrey Alexander,Prestige,14.14,8.62,956,13517.84,8240.72,5277.12,2016-Q2,2016
Northwest,Jeffrey Alexander,Aberdeen,30.55,17.74,281,8584.55,4984.94,3599.61,2016-Q2,2016
East coast,Jeffrey Alexander,Bremen,5.33,3.03,219,1167.27,663.57,503.7,2016-Q2,2016
Central,Elements,Florence,5.21,3.2,781,4069.01,2499.2,1569.81,2016-Q2,2016
South,Jeffrey Alexander,Escutcheons,1.78,1.03,144,256.32,148.32,108,2016-Q2,2016
Northeast,Jeffrey Alexander,Hayworth,7.75,4.91,792,6138,3888.72,2249.28,2016-Q2,2016
Midwest,Elements,Glendale,4.65,3.02,938,4361.7,2832.76,1528.94,2016-Q2,2016
East coast,Jeffrey Alexander,Durham,6.58,4.25,800,5264,3400,1864,2016-Q2,2016
Midwest,Jeffrey Alexander,Ella,136.25,87.93,96,13080,8441.28,4638.72,2016-Q2,2016
Northeast,Jeffrey Alexander,Zane,14.79,9.07,204,3017.16,1850.28,1166.88,2016-Q2,2016
East coast,Elements,Zachary,6.75,4.7,906,6115.5,4258.2,1857.3,2016-Q2,2016
Central,Elements,Stanton,13.35,9.11,122,1628.7,1111.42,517.28,2016-Q2,2016
Midwest,Jeffrey Alexander,Zurich,13.03,8.34,359,4677.77,2994.06,1683.71,2016-Q2,2016
East coast,Jeffrey Alexander,Prestige,17.68,11.4,90,1591.2,1026,565.2,2016-Q2,2016
East coast,Elements,Somerset,4.49,2.83,282,1266.18,798.06,468.12,2016-Q2,2016
South,Jeffrey Alexander,Marlo,24.5,13.54,423,10363.5,5727.42,4636.08,2016-Q2,2016
South,Jeffrey Alexander,Padua,13.59,8.65,871,11836.89,7534.15,4302.74,2016-Q2,2016
Northeast,Elements,Cosgrove,3.58,2.49,84,300.72,209.16,91.56,2016-Q2,2016
Central,Elements,Geneva,4.55,2.74,241,1096.55,660.34,436.21,2016-Q2,2016
Central,Elements,Drake,5.15,3.56,401,2065.15,1427.56,637.59,2016-Q2,2016
West,Elements,Florence,5.21,3.17,102,531.42,323.34,208.08,2016-Q2,2016
South,Jeffrey Alexander,Belcastel,11.65,6.46,887,10333.55,5730.02,4603.53,2016-Q2,2016
West,Jeffrey Alexander,Bella,11.39,7.15,273,3109.47,1951.95,1157.52,2016-Q2,2016
Central,Elements,Park,6.35,3.88,826,5245.1,3204.88,2040.22,2016-Q2,2016
Central,Elements,Stanton,6.1,3.72,310,1891,1153.2,737.8,2016-Q2,2016
South,Jeffrey Alexander,Belcastel,126,70.82,546,68796,38667.72,30128.28,2016-Q2,2016
Central,Jeffrey Alexander,Annadale,28.25,17.64,926,26159.5,16334.64,9824.86,2016-Q2,2016
Midwest,Jeffrey Alexander,Bremen,5.33,3.25,265,1412.45,861.25,551.2,2016-Q2,2016
East coast,Jeffrey Alexander,Aberdeen,24.85,14.48,325,8076.25,4706,3370.25,2016-Q2,2016
Central,Elements,Arcadia,5.05,3.09,301,1520.05,930.09,589.96,2016-Q2,2016
West,Jeffrey Alexander,Prestige,167.5,96.74,990,165825,95772.6,70052.4,2016-Q2,2016
East coast,Jeffrey Alexander,Ella,17.68,10.96,266,4702.88,2915.36,1787.52,2016-Q2,2016
South,Jeffrey Alexander,Belcastel,7.13,4.2,448,3194.24,1881.6,1312.64,2016-Q2,2016
West,Jeffrey Alexander,Annadale,17.89,10.55,78,1395.42,822.9,572.52,2016-Q2,2016
Central,Jeffrey Alexander,Milan,126,71.86,634,79884,45559.24,34324.76,2016-Q2,2016
Midwest,Jeffrey Alexander,Glenmore,12.27,7.2,773,9484.71,5565.6,3919.11,2016-Q2,2016
South,Jeffrey Alexander,Lenoir,6.2,3.93,779,4829.8,3061.47,1768.33,2016-Q2,2016
East coast,Jeffrey Alexander,Cordova,5.2,3.1,739,3842.8,2290.9,1551.9,2016-Q2,2016
Central,Elements,Gatsby,2.15,1.37,839,1803.85,1149.43,654.42,2016-Q2,2016
Midwest,Jeffrey Alexander,Milan,15.89,9.47,589,9359.21,5577.83,3781.38,2016-Q2,2016
Central,Elements,Park,6.35,4.08,115,730.25,469.2,261.05,2016-Q2,2016
International,Jeffrey Alexander,Aberdeen,10.15,6.3,914,9277.1,5758.2,3518.9,2016-Q2,2016
West,Elements,Belfast,8.45,5.81,822,6945.9,4775.82,2170.08,2016-Q2,2016
Midwest,Elements,Verona,5.68,3.45,1116,6338.88,3850.2,2488.68,2016-Q2,2016
East coast,Jeffrey Alexander,Backplates,8.79,5.64,138,1213.02,778.32,434.7,2016-Q2,2016
Central,Elements,Somerset,5.35,3.47,167,893.45,579.49,313.96,2016-Q2,2016
Northwest,Jeffrey Alexander,Ella,136.25,87.72,465,63356.25,40789.8,22566.45,2016-Q2,2016
Central,Jeffrey Alexander,Encada,12.78,7.47,958,12243.24,7156.26,5086.98,2016-Q2,2016
Central,Elements,Drake,4.79,3.05,899,4306.21,2741.95,1564.26,2016-Q2,2016
Central,Elements,Aiden,0.7237,2.19,416,301.0592,911.04,-609.9808,2016-Q2,2016
East coast,Jeffrey Alexander,Rae,21.05,13.3,286,6020.3,3803.8,2216.5,2016-Q2,2016
Midwest,Jeffrey Alexander,Harlow,23.39,15.14,1050,24559.5,15897,8662.5,2016-Q2,2016
South,Jeffrey Alexander,Escutcheons,1.78,1.05,318,566.04,333.9,232.14,2016-Q2,2016
South,Jeffrey Alexander,Solana,21.75,12.39,544,11832,6740.16,5091.84,2016-Q2,2016
East coast,Jeffrey Alexander,Bremen,8.93,5.15,285,2545.05,1467.75,1077.3,2016-Q2,2016
West,Jeffrey Alexander,Bremen,12.45,7.49,989,12313.05,7407.61,4905.44,2016-Q2,2016
Central,Elements,Gatsby,2.15,1.29,253,543.95,326.37,217.58,2016-Q2,2016
Central,Jeffrey Alexander,Venezia,9.89,5.99,34,336.26,203.66,132.6,2016-Q2,2016
Midwest,Jeffrey Alexander,Bienville,13.39,7.76,1236,16550.04,9591.36,6958.68,2016-Q2,2016
Northeast,Elements,Vienna,2.28,1.48,340,775.2,503.2,272,2016-Q2,2016
Midwest,Jeffrey Alexander,Alvar,7.17,4.18,553,3965.01,2311.54,1653.47,2016-Q2,2016
South,Jeffrey Alexander,Ella,14.39,8.54,395,5684.05,3373.3,2310.75,2016-Q2,2016
Central,Elements,Torino,2.85,1.74,542,1544.7,943.08,601.62,2016-Q2,2016
South,Jeffrey Alexander,Escutcheons,1.78,1.11,18,32.04,19.98,12.06,2016-Q2,2016
Northeast,Jeffrey Alexander,Rae,126,79.63,183,23058,14572.29,8485.71,2016-Q2,2016
East coast,Elements,Tempo,1.81,1.25,122,220.82,152.5,68.32,2016-Q2,2016
Central,Elements,Vienna,2.28,1.46,829,1890.12,1210.34,679.78,2016-Q2,2016
Central,Elements,Brenton,9.45,5.79,766,7238.7,4435.14,2803.56,2016-Q2,2016
Central,Elements,Madison,3.89,2.37,110,427.9,260.7,167.2,2016-Q2,2016
West,Jeffrey Alexander,Lafayette,146.5,90.44,663,97129.5,59961.72,37167.78,2016-Q2,2016
Midwest,Elements,Brenton,9.45,6.31,235,2220.75,1482.85,737.9,2016-Q2,2016
Northwest,Elements,Torino,2.85,1.97,788,2245.8,1552.36,693.44,2016-Q2,2016
Central,Elements,Torino,4.79,2.93,783,3750.57,2294.19,1456.38,2016-Q2,2016
Central,Elements,Drake,5.09,3.13,974,4957.66,3048.62,1909.04,2016-Q2,2016
South,Jeffrey Alexander,Tiffany,14.49,8.32,528,7650.72,4392.96,3257.76,2016-Q2,2016
Central,Elements,Seaver,3.89,2.37,384,1493.76,910.08,583.68,2016-Q2,2016
East coast,Jeffrey Alexander,Rae,6.58,4,249,1638.42,996,642.42,2016-Q2,2016
Central,Jeffrey Alexander,Annadale,17.89,11.32,34,608.26,384.88,223.38,2016-Q2,2016
West,Elements,Cosgrove,11.35,7.02,316,3586.6,2218.32,1368.28,2016-Q2,2016
West,Jeffrey Alexander,Leyton,16.59,9.44,667,11065.53,6296.48,4769.05,2016-Q2,2016
Central,Jeffrey Alexander,Harlow,16.05,9.48,294,4718.7,2787.12,1931.58,2016-Q2,2016
Northeast,Elements,Edgefield,3.89,2.68,429,1668.81,1149.72,519.09,2016-Q2,2016
Midwest,Jeffrey Alexander,Katharine,8.93,5.1,1458,13019.94,7435.8,5584.14,2016-Q2,2016
East coast,Jeffrey Alexander,Amsden,7.75,4.78,24,186,114.72,71.28,2016-Q2,2016
Central,Elements,Calloway,6.95,4.42,887,6164.65,3920.54,2244.11,2016-Q2,2016
West,Jeffrey Alexander,Tiffany,18.1,11.45,839,15185.9,9606.55,5579.35,2016-Q2,2016
Central,Elements,Calloway,4.41,2.75,280,1234.8,770,464.8,2016-Q2,2016
East coast,Jeffrey Alexander,Chesapeake,12.86,7.97,678,8719.08,5403.66,3315.42,2016-Q2,2016
Midwest,Jeffrey Alexander,Symphony,8.89,5.09,1141,10143.49,5807.69,4335.8,2016-Q2,2016
East coast,Jeffrey Alexander,Rochester,3.9162,7.92,652,2553.3624,5163.84,-2610.4776,2016-Q2,2016
Central,Elements,Zachary,8.32,5.65,758,6306.56,4282.7,2023.86,2016-Q2,2016
Northeast,Jeffrey Alexander,Bordeaux,6.58,3.64,695,4573.1,2529.8,2043.3,2016-Q2,2016
West,Elements,Florence,6.83,4.55,573,3913.59,2607.15,1306.44,2016-Q2,2016
Midwest,Elements,Asher,7.58,5.06,684,5184.72,3461.04,1723.68,2016-Q2,2016
South,Elements,Geneva,5.2,3.23,704,3660.8,2273.92,1386.88,2016-Q2,2016
East coast,Jeffrey Alexander,Regan,5.39,3.23,838,4516.82,2706.74,1810.08,2016-Q2,2016
Northeast,Jeffrey Alexander,Durham,14.05,8.63,244,3428.2,2105.72,1322.48,2016-Q2,2016
Central,Jeffrey Alexander,Belcastel,8.93,5.71,234,2089.62,1336.14,753.48,2016-Q2,2016
Midwest,Elements,Torino,2.52,1.57,705,1776.6,1106.85,669.75,2016-Q2,2016
Midwest,Elements,Verona,8.65,5.97,976,8442.4,5826.72,2615.68,2016-Q2,2016
East coast,Jeffrey Alexander,Harlow,14.99,8.84,934,14000.66,8256.56,5744.1,2016-Q2,2016
South,Elements,Geneva,4.55,2.74,683,3107.65,1871.42,1236.23,2016-Q2,2016
Central,Elements,Vienna,3.58,2.16,744,2663.52,1607.04,1056.48,2016-Q2,2016
Central,Elements,Kingsport,2.99,1.85,180,538.2,333,205.2,2016-Q2,2016
Central,Elements,Geneva,2.39,1.47,145,346.55,213.15,133.4,2016-Q2,2016
East coast,Elements,Florence,5.21,3.63,889,4631.69,3227.07,1404.62,2016-Q2,2016
Midwest,Elements,Park,6.35,4.37,617,3917.95,2696.29,1221.66,2016-Q2,2016
